Pais,Superficie,Poblacion,Namerica,Samerica,Europa,Asia,Oceania,Africa,PIB,Porcentaje de PIB en salud
Venezuela,916445.0,32219521.0,0, 1, 0, 0, 0, 0,70140.0,0.77
Vietnam,331212.0,96208984.0,0, 0, 0, 1, 0, 0,261637.0,2.68
Zambia,752612.0,17885422.0,0, 0, 0, 0, 0, 1,23946.0,1.71
Zimbabwe,390757.0,15159624.0,0, 0, 0, 0, 0, 1,12818.0,4.38
Dominica,751.0,71808.0,1, 0, 0, 0, 0, 0,593.0,3.41
Grenada,344.0,112003.0,1, 0, 0, 0, 0, 0,1238.0,2.17
Mozambique,801590.0,30066648.0,0, 0, 0, 0, 0, 1,15093.0,2.7
Syria,185180.0,17500657.0,0, 0, 0, 1, 0, 0,60043.0,1.61
Timor-Leste,14919.0,1387149.0,0, 0, 0, 1, 0, 0,2938.0,2.24
Belize,22966.0,408487.0,1, 0, 0, 0, 0, 0,2001.0,4.06
Laos,236800.0,7123205.0,0, 0, 0, 1, 0, 0,19127.0,0.76
Libya,1759540.0,6871287.0,0, 0, 0, 0, 0, 1,33018.0,3.83
Guinea-Bissau,36125.0,1604528.0,0, 0, 0, 0, 0, 1,1458.0,2.69
Mali,1240192.0,19973000.0,0, 0, 0, 0, 0, 1,17647.0,1.21
Saint Kitts and Nevis,261.0,52823.0,1, 0, 0, 0, 0, 0,1032.0,2.45
Burma,676578.0,54339766.0,0, 0, 0, 1, 0, 0,65994.0,1.02
Botswana,581730.0,2338851.0,0, 0, 0, 0, 0, 1,18690.0,3.06
Burundi,27834.0,10953317.0,0, 0, 0, 0, 0, 1,3573.0,1.8
Sierra Leone,71740.0,7901454.0,0, 0, 0, 0, 0, 1,4229.0,1.85
Malawi,118484.0,19129952.0,0, 0, 0, 0, 0, 1,7522.0,2.76
