Pais,Area,poblacion,Namerica,Samerica,Europe,Asia,Oceania,Africa,lat,longitud,Dia_inicio,PIB,Gasto_Salud,1,2,3,4,6
Suriname,163820.0,581372.0,0, 1, 0, 0, 0, 0,3.9193,-56.0278,52,3774.0,4.21,1,1,1,1,1
Sweden,450295.0,10333456.0,0, 0, 1, 0, 0, 0,63.0,16.0,9,528929.0,9.26,1,1,1,1,1
Switzerland,41284.0,8586550.0,0, 0, 1, 0, 0, 0,46.8182,8.2275,34,715360.0,7.76,1,1,8,8,27
Tanzania,945087.0,55890747.0,0, 0, 0, 0, 0, 1,-6.369,34.8888,54,62224.0,1.68,1,1,3,6,6
Thailand,513120.0,66488605.0,0, 0, 0, 1, 0, 0,15.0,101.0,0,529177.0,2.9,2,3,5,7,8
Togo,56785.0,7538000.0,0, 0, 0, 0, 0, 1,8.6195,0.8248,44,5502.0,1.33,1,1,1,1,1
Trinidad and Tobago,5130.0,1363985.0,1, 0, 0, 0, 0, 0,10.6918,-61.2225,52,22607.0,3.44,2,2,4,5,9
Tunisia,163610.0,11722038.0,0, 0, 0, 0, 0, 1,34.0,9.0,42,38732.0,3.94,1,1,1,1,2
Turkey,783562.0,83154997.0,0, 0, 0, 1, 0, 0,38.9637,35.2433,49,743708.0,3.26,1,1,5,5,18
Uganda,241550.0,40299300.0,0, 0, 0, 0, 0, 1,1.0,32.0,59,30666.0,1.02,1,1,9,9,14
Ukraine,603500.0,41879904.0,0, 0, 1, 0, 0, 0,48.3794,31.1656,41,150401.0,2.85,1,1,1,1,1
United Arab Emirates,83600.0,9890400.0,0, 0, 0, 1, 0, 0,24.0,54.0,7,405771.0,2.55,4,4,4,4,5
United Kingdom,242495.0,66435550.0,0, 0, 1, 0, 0, 0,32.18262,-42.34011,9,2743586.0,7.53,2,2,2,2,2
Uruguay,176215.0,3518552.0,0, 1, 0, 0, 0, 0,-32.5228,-55.7658,52,59918.0,6.5,4,4,8,29,79
US,9525067.0,329556365.0,1, 0, 0, 0, 0, 0,37.0902,-95.7129,0,21439453.0,14.32,1,1,2,2,5
Uzbekistan,447400.0,34103739.0,0, 0, 0, 1, 0, 0,41.3775,64.5853,53,60490.0,2.92,1,6,10,15,33
Venezuela,916445.0,32219521.0,0, 1, 0, 0, 0, 0,6.4238,-66.5897,52,70140.0,0.77,2,10,17,33,42
Vietnam,331212.0,96208984.0,0, 0, 0, 1, 0, 0,16.0,108.0,1,261637.0,2.68,2,2,2,2,2
Zambia,752612.0,17885422.0,0, 0, 0, 0, 0, 1,-15.4167,28.2833,56,23946.0,1.71,2,2,2,2,3
Zimbabwe,390757.0,15159624.0,0, 0, 0, 0, 0, 1,-20.0,30.0,58,12818.0,4.38,1,3,3,3,3
Dominica,751.0,71808.0,1, 0, 0, 0, 0, 0,15.415,-61.371,99,593.0,3.41,1,1,1,1,2
